mz	intensity	present	rsd	present_flag	rsd_flag	flags
101.747909769	2684.26098633	1	nan	0	0	0
101.748140437	2986.80200195	1	nan	0	0	0
101.748603222	1906.28729248	2	10.9458956217	1	1	1
101.748950182	2285.35546875	1	nan	0	0	0
101.749568064	2550.58215332	2	5.73186488666	1	1	1
101.749944456	1889.0838623	2	11.8579420531	1	1	1
101.750499136	2598.70776367	1	nan	0	0	0
101.750871883	1589.64306641	1	nan	0	0	0
101.751087649	2241.9418335	2	9.34762968776	1	1	1
101.751796574	1729.59332275	2	10.1171772952	1	1	1
101.752161442	2145.91064453	1	nan	0	0	0
101.752970489	3167.04125977	2	39.9072061865	1	0	0
101.753205431	2151.53979492	1	nan	0	0	0
101.753588409	1772.23046875	1	nan	0	0	0
101.753863845	2343.43859863	3	32.3513481486	1	0	0
101.754229039	1726.5637207	1	nan	0	0	0
101.754585661	2625.31624349	3	27.1336397132	1	0	0
101.754837806	1536.34741211	1	nan	0	0	0
101.755347961	2216.42578125	2	6.77183845754	1	1	1
101.755599896	2759.28894043	2	24.6237285766	1	0	0
101.755917549	2397.0246582	1	nan	0	0	0
101.756125557	2967.41617839	3	23.441528216	1	0	0
101.756455355	2182.34020996	2	9.2122484671	1	1	1
101.756787361	2243.62440999	3	12.5670229669	1	1	1
101.757100401	2312.15118408	2	24.1878096847	1	0	0
101.757303931	2012.98181152	2	19.9541525718	1	1	1
101.757588125	2253.85150146	2	23.9207202363	1	0	0
101.757868328	3162.50854492	1	nan	0	0	0
101.758230739	2472.28499349	3	27.5268564594	1	0	0
101.758551062	2253.59179688	1	nan	0	0	0
101.758836488	2565.3503418	1	nan	0	0	0
101.759108927	2078.21862793	2	6.43661672433	1	1	1
101.759350874	2469.15527344	2	10.5539636492	1	1	1
101.759616695	3366.94799805	2	37.2580662821	1	0	0
101.759859854	1774.62072754	1	nan	0	0	0
101.760331591	2219.7755127	2	17.9478499182	1	1	1
101.760592777	2183.88452148	2	28.276109476	1	0	0
101.760963002	2180.15600586	3	19.302870915	1	1	1
101.761502361	2094.59643555	1	nan	0	0	0
101.761758661	2283.51664225	3	20.9206370078	1	0	0
101.762096056	1555.71948242	1	nan	0	0	0
101.762380183	3787.01391602	1	nan	0	0	0
101.762653234	3906.70629883	1	nan	0	0	0
101.762917178	2547.92736816	2	26.3858238024	1	0	0
101.763205404	2776.21789551	2	25.9979289249	1	0	0
101.763526646	2336.73714193	3	9.21652482848	1	1	1
101.76383849	3269.46606445	2	36.1995792479	1	0	0
101.764182244	2715.4313151	3	23.4087757907	1	0	0
101.764574061	2417.40836589	3	9.26314835587	1	1	1
101.764962571	2686.28881836	2	9.73851860381	1	1	1
101.765227642	3145.88525391	1	nan	0	0	0
101.76571499	3763.8733724	3	30.9803711967	1	0	0
101.766104402	2310.32653809	2	10.492204059	1	1	1
101.766396842	3363.98795573	3	31.9983906014	1	0	0
101.766755829	1868.76965332	1	nan	0	0	0
101.767046239	3256.00488281	2	2.99765397407	1	1	1
101.767387975	2177.97351074	2	5.74411699971	1	1	1
101.767881317	2730.10424805	2	24.8161347004	1	0	0
101.768399661	2493.90063477	1	nan	0	0	0
101.768655597	2609.70941162	2	34.4643354675	1	0	0
101.768963987	3217.23596191	2	22.0925027803	1	0	0
101.76947506	2651.29986572	3	34.4807436265	1	0	0
101.769960355	2462.60253906	1	nan	0	0	0
101.770257096	2429.0929362	3	22.4645612932	1	0	0
101.770644736	2346.23008219	3	26.6798509915	1	0	0
101.771319512	2359.85481771	3	27.7619602085	1	0	0
101.771883263	2621.7635498	3	46.9303074849	1	0	0
101.77221941	3777.88968913	3	64.643136442	1	0	0
101.772498359	4122.70849609	1	nan	0	0	0
101.772785464	3479.53027344	1	nan	0	0	0
101.773001223	2387.66931152	2	11.5287809627	1	1	1
101.77333382	2763.15340169	3	23.7289699855	1	0	0
101.77376836	2875.89355469	3	9.99012594533	1	1	1
101.774008215	1695.62280273	1	nan	0	0	0
101.774232106	2630.40106201	2	25.6586110456	1	0	0
101.774607012	3021.93302409	3	21.0048825431	1	0	0
101.774902304	3233.74853516	2	28.0854217385	1	0	0
101.775160095	5159.34411621	2	30.8507889454	1	0	0
101.775441806	3753.46044922	3	42.3329949065	1	0	0
101.775970624	4571.35839844	3	30.3735352087	1	0	0
101.776387584	4272.90576172	2	1.8736449268	1	1	1
