mz	intensity	present	rsd	present_flag	rsd_flag	flags
101.781004133	25403.5180664	2	49.5184301126	1	0	0
101.781323686	34028.453776	3	19.3246244689	1	1	1
101.781606288	13217.6298828	1	nan	0	0	0
101.781980635	28632.3001302	3	22.9896270345	1	0	0
101.782214649	29677.9492188	2	18.5007150327	1	1	1
101.782472539	20413.3242188	2	11.2322087423	1	1	1
101.782845647	29698.1702474	3	34.501144752	1	0	0
101.783209226	21991.0950521	3	31.0271179568	1	0	0
101.783596004	36898.5351562	2	29.3856304636	1	0	0
101.783824593	29635.5869141	2	4.42137288688	1	1	1
101.784146429	31982.4731445	2	55.0363071937	1	0	0
101.784445344	21264.8227539	2	28.315705885	1	0	0
101.784790114	22852.9873047	2	6.128023898	1	1	1
101.785194251	31620.3574219	3	23.0592122101	1	0	0
101.785629413	15610.8510742	2	15.0506194312	1	1	1
101.785901768	14647.0493164	2	22.1185727701	1	0	0
101.786320311	22602.6046549	3	11.2937752746	1	1	1
101.786921717	18898.046875	3	18.3333660657	1	1	1
101.787329158	23267.5625	3	9.95736516571	1	1	1
101.78754234	27621.5605469	1	nan	0	0	0
101.787787122	31352.828125	1	nan	0	0	0
101.78815072	20237.1928711	2	39.2244434299	1	0	0
101.78844769	16888.4023438	3	28.2133896485	1	0	0
101.78875912	12321.4889323	3	7.06748237003	1	1	1
101.789067917	11923.0488281	1	nan	0	0	0
101.789502017	21148.9262695	3	26.8604714209	1	0	0
101.789928999	15379.9082031	2	8.07167376573	1	1	1
101.790218294	15723.1538086	2	20.398724028	1	0	0
101.790499745	26905.3417969	1	nan	0	0	0
101.790947915	19999.5123698	3	12.8447978879	1	1	1
101.791326221	11830.465332	2	15.7644955735	1	1	1
101.791736455	17424.5078125	1	nan	0	0	0
101.791966798	23030.0507812	1	nan	0	0	0
101.792246848	12312.652832	2	4.36746244386	1	1	1
101.792519163	15844.3671875	1	nan	0	0	0
101.792858815	12631.6132812	3	19.7892859283	1	1	1
101.79320837	15379.5800781	1	nan	0	0	0
101.79366981	13426.9716797	2	9.9542017623	1	1	1
101.794231464	23990.9609375	1	nan	0	0	0
101.794453904	14886.6591797	1	nan	0	0	0
101.794795853	12491.851237	3	11.1531489589	1	1	1
101.795165357	10976.7675781	3	5.94584187829	1	1	1
101.795450154	15749.6352539	2	24.1280482283	1	0	0
101.796027233	12932.4384766	1	nan	0	0	0
101.796287681	16009.3144531	1	nan	0	0	0
