mz	intensity	snr	snr_flag	present	fraction	rsd	fraction_flag	rsd_flag	flags
70.0290088287	3200.65136719	0.964097840958	0	1.0	1.0	nan	1	1	0
70.0371217821	2930.10058594	0.882602734447	0	1.0	1.0	nan	1	1	0
70.0684684871	3566.99365234	1.07444719353	0	1.0	1.0	nan	1	1	0
70.0885298708	3003.86938477	0.904823317548	0	1.0	1.0	nan	1	1	0
70.1010383742	3295.79125977	0.992755809134	0	1.0	1.0	nan	1	1	0
70.1069122762	2879.74951172	0.867436021058	0	1.0	1.0	nan	1	1	0
70.1157839491	3836.37792969	1.15559092659	0	1.0	1.0	nan	1	1	0
70.1247678139	2579.11303711	0.776878524214	0	1.0	1.0	nan	1	1	0
70.1268544312	2904.828125	0.874990182429	0	1.0	1.0	nan	1	1	0
70.1319022278	2800.14013672	0.843456143917	0	1.0	1.0	nan	1	1	0
70.1733726095	2634.91967773	0.793688559287	0	1.0	1.0	nan	1	1	0
70.2136847674	3250.97558594	0.979256464963	0	1.0	1.0	nan	1	1	0
70.2214503452	3273.46142578	0.986029633033	0	1.0	1.0	nan	1	1	0
70.2292528938	2712.46337891	0.817046215683	0	1.0	1.0	nan	1	1	0
70.2462364202	3450.45092773	1.03934228009	0	1.0	1.0	nan	1	1	0
70.2472161785	2795.61767578	0.842093891573	0	1.0	1.0	nan	1	1	0
70.2765113883	2706.42724609	0.815228016215	0	1.0	1.0	nan	1	1	0
70.2783645053	2972.99511719	0.89552339347	0	1.0	1.0	nan	1	1	0
70.3037672488	3223.72631836	0.971048460708	0	1.0	1.0	nan	1	1	0
70.3062625012	3259.66967773	0.981875292872	0	1.0	1.0	nan	1	1	0
70.3917591577	3003.89501953	0.904831039233	0	1.0	1.0	nan	1	1	0
70.408731772	2919.07055664	0.879280277169	0	1.0	1.0	nan	1	1	0
70.4282135036	3204.19311523	0.965164683689	0	1.0	1.0	nan	1	1	0
70.4624539234	2745.71337891	0.827061756126	0	1.0	1.0	nan	1	1	0
70.4765836238	2968.13720703	0.894060097361	0	1.0	1.0	nan	1	1	0
70.4770883079	4160.68652344	1.25327892168	0	1.0	1.0	nan	1	1	0
70.4852719082	3452.60546875	1.03999126935	0	1.0	1.0	nan	1	1	0
70.490513705	2387.98120117	0.719305933755	0	1.0	1.0	nan	1	1	0
70.4905921951	2527.89306641	0.761450082468	0	1.0	1.0	nan	1	1	0
70.5380026916	2862.64160156	0.862282788996	0	1.0	1.0	nan	1	1	0
70.5426093037	2854.52832031	0.85983891241	0	1.0	1.0	nan	1	1	0
70.5608096337	3617.98803711	1.08980768444	0	1.0	1.0	nan	1	1	0
70.6756579236	3039.65966797	0.915604040221	0	1.0	1.0	nan	1	1	0
70.6801624154	3416.22802734	1.02903368331	0	1.0	1.0	nan	1	1	0
70.6924476239	2838.30493164	0.854952115256	0	1.0	1.0	nan	1	1	0
70.7230519352	3356.85473633	1.01114930445	0	1.0	1.0	nan	1	1	0
70.7388913158	3374.58984375	1.0164914604	0	1.0	1.0	nan	1	1	0
70.7571583897	2830.71728516	0.852666569986	0	1.0	1.0	nan	1	1	0
70.7632889599	2966.48120117	0.893561276499	0	1.0	1.0	nan	1	1	0
70.7906987394	3277.11401367	0.98712986286	0	1.0	1.0	nan	1	1	0
70.829429193	2743.92138672	0.826521973563	0	1.0	1.0	nan	1	1	0
70.833720042	2848.79052734	0.85811057865	0	1.0	1.0	nan	1	1	0
70.8404132248	2697.94287109	0.812672359044	0	1.0	1.0	nan	1	1	0
70.8665431912	2846.81762695	0.857516303051	0	1.0	1.0	nan	1	1	0
70.8997856129	3006.25537109	0.905542022587	0	1.0	1.0	nan	1	1	0
70.9065140162	2888.46557617	0.870061467556	0	1.0	1.0	nan	1	1	0
70.9227432829	2643.08520508	0.796148173402	0	1.0	1.0	nan	1	1	0
70.9655831756	2905.24194336	0.875114832489	0	1.0	1.0	nan	1	1	0
70.9748886926	2597.72338867	0.782484320567	0	1.0	1.0	nan	1	1	0
71.0055574993	4148.12890625	1.24949632551	0	1.0	1.0	nan	1	1	0
71.0094933896	3127.27026367	0.941994039153	0	1.0	1.0	nan	1	1	0
71.0323045953	2899.80859375	0.873478202933	0	1.0	1.0	nan	1	1	0
71.0496724092	3804.20166016	1.14589881445	0	1.0	1.0	nan	1	1	0
71.0658598651	2620.30078125	0.789285066084	0	1.0	1.0	nan	1	1	0
71.0808008454	2388.16186523	0.71936035325	0	1.0	1.0	nan	1	1	0
71.0978163627	2830.96533203	0.852741286483	0	1.0	1.0	nan	1	1	0
71.1257077032	2873.23388672	0.865473389308	0	1.0	1.0	nan	1	1	0
71.1280146157	2870.01513672	0.86450383981	0	1.0	1.0	nan	1	1	0
71.1343889686	2702.2121582	0.813958350554	0	1.0	1.0	nan	1	1	0
71.1762336334	3150.32617188	0.948938922794	0	1.0	1.0	nan	1	1	0
71.1830909868	3174.17358398	0.956122222657	0	1.0	1.0	nan	1	1	0
71.1969668621	3329.52612305	1.00291739974	0	1.0	1.0	nan	1	1	0
71.2260392151	3040.69335938	0.915915407983	0	1.0	1.0	nan	1	1	0
71.2300356001	3267.26391602	0.984162823719	0	1.0	1.0	nan	1	1	0
71.2675988572	2686.69311523	0.809283715893	0	1.0	1.0	nan	1	1	0
71.2676762249	2945.41308594	0.887215154388	0	1.0	1.0	nan	1	1	0
71.3341210991	3566.13110352	1.07418737721	0	1.0	1.0	nan	1	1	0
71.3489790547	3368.01416016	1.01451073785	0	1.0	1.0	nan	1	1	0
71.4475041799	4427.78466797	1.33373402751	0	1.0	1.0	nan	1	1	0
71.4512251471	2884.28735352	0.868802906413	0	1.0	1.0	nan	1	1	0
71.4751201829	3209.36499023	0.966722552057	0	1.0	1.0	nan	1	1	0
71.4811724003	3065.09008789	0.923264172528	0	1.0	1.0	nan	1	1	0
71.48358201	2841.92211914	0.856041681804	0	1.0	1.0	nan	1	1	0
71.4928485368	3165.44238281	0.953492216688	0	1.0	1.0	nan	1	1	0
71.4982077534	3461.90478516	1.04279240257	0	1.0	1.0	nan	1	1	0
71.5441995448	3954.50170898	1.19117208415	0	1.0	1.0	nan	1	1	0
71.5451999025	3494.08032227	1.05248429409	0	1.0	1.0	nan	1	1	0
71.5512313338	3061.17016602	0.922083416556	0	1.0	1.0	nan	1	1	0
71.5700815623	2987.87988281	0.900006971579	0	1.0	1.0	nan	1	1	0
71.64494782	3837.55981445	1.15594693305	0	1.0	1.0	nan	1	1	0
71.660051969	3673.57836914	1.1065525632	0	1.0	1.0	nan	1	1	0
71.676277148	2628.59082031	0.791782185528	0	1.0	1.0	nan	1	1	0
71.682656845	4437.02783203	1.33651824656	0	1.0	1.0	nan	1	1	0
71.70542773	3261.52734375	0.982434857658	0	1.0	1.0	nan	1	1	0
71.7113840164	3737.95263672	1.12594333254	0	1.0	1.0	nan	1	1	0
71.7913283699	3369.27709961	1.01489115954	0	1.0	1.0	nan	1	1	0
71.8068180681	3092.59375	0.931548805316	0	1.0	1.0	nan	1	1	0
71.8243863089	2668.23730469	0.80372447027	0	1.0	1.0	nan	1	1	0
71.833203959	3018.04980469	0.909094733164	0	1.0	1.0	nan	1	1	0
71.8375984817	2857.39746094	0.86070315283	0	1.0	1.0	nan	1	1	0
71.8911057022	2849.95239258	0.858460554838	0	1.0	1.0	nan	1	1	0
71.940980913	3189.03369141	0.960598373239	0	1.0	1.0	nan	1	1	0
71.9495996517	2980.24682617	0.897707747895	0	1.0	1.0	nan	1	1	0
71.9785898768	3148.60009766	0.948418995993	0	1.0	1.0	nan	1	1	0
71.9962216526	2806.23999023	0.845293537288	0	1.0	1.0	nan	1	1	0
71.9994603762	2829.32348633	0.852246730933	0	1.0	1.0	nan	1	1	0
72.0132892599	3320.02441406	1.00005530197	0	1.0	1.0	nan	1	1	0
72.0522463752	2622.72387695	0.790014949182	0	1.0	1.0	nan	1	1	0
72.0554103302	3279.74560547	0.987922548997	0	1.0	1.0	nan	1	1	0
72.0556105314	7604.07177734	2.29049288472	0	1.0	1.0	nan	1	1	0
72.0625418057	2991.06152344	0.900965343018	0	1.0	1.0	nan	1	1	0
72.0839383487	3373.90942383	1.01628650482	0	1.0	1.0	nan	1	1	0
72.121566414	3084.50708008	0.929112944574	0	1.0	1.0	nan	1	1	0
72.1252563645	2937.11352539	0.88471516689	0	1.0	1.0	nan	1	1	0
72.126677617	3757.83666992	1.13193278633	0	1.0	1.0	nan	1	1	0
72.1375934406	3394.8125	1.02258291398	0	1.0	1.0	nan	1	1	0
72.1391321869	3181.48144531	0.958323491249	0	1.0	1.0	nan	1	1	0
72.1535016059	2973.43969727	0.895657309553	0	1.0	1.0	nan	1	1	0
72.1765191295	2517.80541992	0.758411489044	0	1.0	1.0	nan	1	1	0
72.2162829269	2912.07446289	0.877172918976	0	1.0	1.0	nan	1	1	0
72.2445044039	3629.70239258	1.09333627395	0	1.0	1.0	nan	1	1	0
72.245146295	3270.80932617	0.985230769548	0	1.0	1.0	nan	1	1	0
72.2640954636	2818.47998047	0.848980458106	0	1.0	1.0	nan	1	1	0
72.2708714604	3247.73388672	0.978280002718	0	1.0	1.0	nan	1	1	0
72.2891406649	3146.78466797	0.947872153603	0	1.0	1.0	nan	1	1	0
72.3061063406	3145.7800293	0.947569537084	0	1.0	1.0	nan	1	1	0
72.4421150858	3480.69262695	1.0484516624	0	1.0	1.0	nan	1	1	0
72.4836264566	2892.71020508	0.87134003154	0	1.0	1.0	nan	1	1	0
72.5344428531	2942.71728516	0.886403127268	0	1.0	1.0	nan	1	1	0
72.5426484396	2586.42529297	0.779081116523	0	1.0	1.0	nan	1	1	0
72.5610763795	2946.1940918	0.887450408396	0	1.0	1.0	nan	1	1	0
