mz	intensity	present	rsd	present_flag	rsd_flag	flags
101.762286087	22666.9316406	1	nan	0	0	0
101.762492483	10775.862793	2	20.030058498	1	0	0
101.762746438	13989.5410156	2	40.0007259888	1	0	0
101.763134945	12753.6660156	2	10.1021504693	1	1	1
101.763368343	14050.78125	1	nan	0	0	0
101.763678274	19112.7027995	3	26.6244381176	1	0	0
101.764097187	12557.1184896	3	31.5798353717	1	0	0
101.764476547	10816.9075521	3	8.96892096627	1	1	1
101.765165766	16920.8225098	2	9.25924250627	1	1	1
101.765643263	11447.2363281	1	nan	0	0	0
101.765957253	17192.8180339	3	52.3608935868	1	0	0
101.766536525	14405.6870117	2	36.1271066484	1	0	0
101.766800927	20145.0205078	2	17.4983388274	1	1	1
101.767014353	16692.0820312	1	nan	0	0	0
101.767432379	12908.8557943	3	21.9859928741	1	0	0
101.767772546	12888.1389974	3	12.1757201255	1	1	1
101.768176162	15495.0838216	3	34.0553843845	1	0	0
101.768529599	14614.3186849	3	20.7300719324	1	0	0
101.768919187	22077.0950521	3	35.2187059119	1	0	0
101.76927074	12952.4091797	2	18.4816003478	1	1	1
101.769492405	26036.2734375	2	9.03080527977	1	1	1
101.769862091	20060.9848633	2	28.8540068629	1	0	0
101.770087926	22585.0693359	2	0.313887022032	1	1	1
101.770386449	20701.6445312	1	nan	0	0	0
101.770707502	17962.8797201	3	7.90695078284	1	1	1
101.771012446	16415.8769531	3	25.1072759393	1	0	0
101.771294692	20444.5198568	3	25.9948875894	1	0	0
101.771525887	18021.7304688	1	nan	0	0	0
101.771812112	33200.9707031	2	1.31180864264	1	1	1
101.772224531	18076.5179036	3	35.3502881548	1	0	0
101.772543278	19196.0820312	1	nan	0	0	0
101.772752771	13000.3942057	3	20.4343321845	1	0	0
101.773024353	18548.9033203	3	38.0963264587	1	0	0
101.773397274	24168.234375	3	15.7865310954	1	1	1
101.773758616	22057.75	2	13.5646059775	1	1	1
101.774121382	29362.1393229	3	33.0975329967	1	0	0
101.774429849	28450.3867188	1	nan	0	0	0
101.774745704	25207.0371094	3	9.45283789649	1	1	1
101.775058748	28617.0654297	2	17.1948897543	1	1	1
101.775356446	15455.7885742	2	0.0070924327218	1	1	1
101.775647706	25882.2916667	3	48.5808764492	1	0	0
101.7759363	33885.3945312	1	nan	0	0	0
101.776352681	25660.0097656	1	nan	0	0	0
101.776578193	22788.1106771	3	46.0549596975	1	0	0
101.776974539	17979.7421875	3	50.0359332147	1	0	0
101.777314765	18646.434082	2	17.0676615159	1	1	1
101.777579647	18894.8486328	2	26.165381241	1	0	0
101.777829222	17560.1123047	3	32.1314562948	1	0	0
101.778110132	16300.1230469	3	41.1889880428	1	0	0
101.778446543	13823.2250977	2	28.0946550093	1	0	0
101.778689055	52206.171875	1	nan	0	0	0
101.778988476	29136.8502604	3	40.2127701544	1	0	0
101.779402955	20376.0569661	3	27.3467318838	1	0	0
101.779759078	18733.0361328	2	11.3412348224	1	1	1
101.77997069	47846.1953125	1	nan	0	0	0
101.780286888	21765.7382812	3	44.2942695949	1	0	0
101.780528705	17026.9663086	2	46.6130572348	1	0	0
101.780763417	20336.1367188	2	13.1454436386	1	1	1
101.781042106	30451.6689453	2	9.65016317321	1	1	1
101.781375232	25714.0654297	2	44.6858618651	1	0	0
101.781649986	24445.235026	3	50.2596478844	1	0	0
101.781984178	19021.4130859	2	35.5810194791	1	0	0
101.782253578	16448.4306641	2	40.5961803086	1	0	0
101.782631928	15787.7250977	3	20.4937856964	1	0	0
101.783018114	19947.8815918	3	39.8688041615	1	0	0
101.783406666	23713.7011719	2	19.7552262236	1	1	1
101.783693632	19687.4182943	3	17.5412191803	1	1	1
101.784016037	15678.137207	2	1.52884759875	1	1	1
101.784275208	22961.5683594	1	nan	0	0	0
101.784661589	17575.1456706	3	5.80548809269	1	1	1
101.785067199	10372.6191406	1	nan	0	0	0
101.785377655	18548.5714518	3	26.3259751798	1	0	0
101.785804459	13451.3245443	3	33.808403556	1	0	0
101.786166434	26810.9960938	1	nan	0	0	0
101.786571384	11743.862793	2	11.5804544021	1	1	1
101.787021602	17616.6152344	3	37.2069917713	1	0	0
101.787564758	11474.4348958	3	13.8212252483	1	1	1
101.787931692	14787.3671875	2	34.4594705257	1	0	0
101.788357842	13817.7128906	1	nan	0	0	0
101.788699357	17324.4960938	2	5.19686156095	1	1	1
101.78906521	14103.3173828	2	10.6040820266	1	1	1
101.789521677	17175.1630859	2	51.1610578207	1	0	0
101.789945531	14450.3413086	1	nan	0	0	0
101.790364371	11061.96875	1	nan	0	0	0
101.790713931	10927.1884766	2	13.2012582219	1	1	1
101.79099181	12398.2288411	3	9.61552479737	1	1	1
101.791676501	11987.9492188	1	nan	0	0	0
101.791957239	8693.09472656	1	nan	0	0	0
101.793506199	9174.88330078	2	5.80105194415	1	1	1
101.794009311	9627.16796875	1	nan	0	0	0
101.794653432	9752.60742188	2	5.98552870977	1	1	1
101.795427468	9395.17285156	1	nan	0	0	0
101.795790591	8568.48144531	1	nan	0	0	0
101.796817279	9931.89599609	2	9.16031018475	1	1	1
101.797969775	10997.4091797	1	nan	0	0	0
101.798795113	11769.8144531	1	nan	0	0	0
101.800830401	9791.80859375	2	13.3888518105	1	1	1
102.091316157	14068.296875	1	nan	0	0	0
103.038947856	31753.5820312	3	8.41110723861	1	1	1
104.07058559	9055.75097656	2	0.733951760843	1	1	1
104.106974399	22279.0332031	3	11.6673380356	1	1	1
105.003249663	12679.6113281	3	11.1357016635	1	1	1
105.489646747	10054.1630859	1	nan	0	0	0
106.049831308	13024.5756836	2	8.12349895486	1	1	1
106.950567228	27933.4023438	3	19.1509309099	1	1	1
110.071261255	15979.9199219	3	10.4602169022	1	1	1
112.036893929	11290.8242188	3	26.9221275022	1	0	0
112.051457289	9294.69726562	1	nan	0	0	0
112.05186572	19386.0859375	3	7.72824342304	1	1	1
112.052298721	150338.328125	3	3.06548640419	1	1	1
112.086905704	10884.2936198	3	27.3190023013	1	0	0
113.008342264	11536.8388672	2	6.45260600744	1	1	1
113.020919682	16219.3544922	3	13.85633796	1	1	1
113.05563557	8733.55273438	1	nan	0	0	0
114.05043243	12648.0465495	3	10.6404092772	1	1	1
114.066180513	66207.8333333	3	5.59123099236	1	1	1
115.036557448	29863.139974	3	0.86243723128	1	1	1
116.070604005	23455.3040365	3	21.1724881864	1	0	0
116.977092154	12808.1660156	3	24.5144225415	1	0	0
118.08533683	16410.4596354	3	4.59843023295	1	1	1
118.085688449	27326.1878255	3	7.90988441906	1	1	1
118.086250829	307602.447917	3	9.72573319887	1	1	1
119.018926037	22444.6321615	3	0.829805367601	1	1	1
119.089617739	13689.9498698	3	10.0136637304	1	1	1
120.980819857	10454.8167318	3	5.05642016786	1	1	1
122.924538897	14786.945638	3	1.75689067392	1	1	1
123.013846587	50188.2825521	3	25.0299655669	1	0	0
123.055295402	28416.4928385	3	10.3202656368	1	1	1
124.999923626	8312.40527344	1	nan	0	0	0
125.011404056	8457.11621094	1	nan	0	0	0
126.021941878	15260.5488281	3	18.3049996687	1	1	1
128.010260395	9060.96777344	1	nan	0	0	0
128.010843587	44371.2981771	3	16.424116987	1	1	1
128.994188721	10043.8251953	1	nan	0	0	0
128.994866377	59900.5481771	3	5.7876376913	1	1	1
129.031238219	8220.02050781	1	nan	0	0	0
129.06586351	8951.05859375	1	nan	0	0	0
130.049221932	22500.9661458	3	9.23402758231	1	1	1
130.049873374	113748.263021	3	10.6498537822	1	1	1
130.086248683	13545.4573568	3	25.9101617148	1	0	0
130.992976851	9792.78417969	1	nan	0	0	0
131.009357113	9418.51660156	1	nan	0	0	0
131.009822558	31491.8463542	3	7.06656691834	1	1	1
131.010513843	124871.609375	3	12.3860098184	1	1	1
131.018266487	16973.5175781	2	7.72572991405	1	1	1
131.018944911	48413.7591146	3	18.8515596015	1	1	1
131.053218058	19197.46875	2	14.8892818715	1	1	1
131.070280863	8230.16796875	1	nan	0	0	0
131.350996755	8252.55664062	1	nan	0	0	0
131.351408975	8411.12988281	1	nan	0	0	0
132.019779163	10283.3408203	2	16.3361440269	1	1	1
132.065473144	17477.6835938	2	3.2204795982	1	1	1
132.068712689	8446.99316406	1	nan	0	0	0
132.072820676	9091.4280599	3	10.4136058236	1	1	1
132.073088245	9868.84195964	3	13.1172999149	1	1	1
132.073567755	12355.429362	3	5.00349487545	1	1	1
132.074000055	14682.8621419	3	9.38974655622	1	1	1
132.074579995	27577.1757812	3	3.85804732463	1	1	1
132.075003883	70130.2786458	3	3.75205552157	1	1	1
132.075555873	348220.895833	3	3.00372824618	1	1	1
132.076091834	1609888.625	3	3.50091277629	1	1	1
132.076675725	16169485.6667	3	3.04573222211	1	1	1
132.077210422	1835192.91667	3	3.7018984412	1	1	1
132.078011107	42624.5234375	2	7.38239558763	1	1	1
132.078368922	24374.5488281	3	2.66125838234	1	1	1
132.078792333	20403.9749349	3	4.88716618523	1	1	1
132.079218257	16820.285319	3	8.78185735121	1	1	1
132.07953777	14481.1347656	3	9.28930691417	1	1	1
132.079851335	12598.2978516	3	2.38830068433	1	1	1
132.080172607	11576.7854818	3	9.21620803368	1	1	1
132.080455983	10077.7244466	3	2.68290266812	1	1	1
132.080984316	9366.46934679	3	5.5082014104	1	1	1
132.081433515	9270.14160156	1	nan	0	0	0
132.10076937	24679.3476562	3	0.827658246349	1	1	1
132.101248622	94387.3020833	3	4.83913239062	1	1	1
132.101915669	308260.09375	3	2.25461307058	1	1	1
132.102459998	24452.6022135	3	3.54196037294	1	1	1
132.442544468	9659.83203125	1	nan	0	0	0
132.971351427	8667.15722656	1	nan	0	0	0
132.972011414	16862.4029948	3	21.5525805644	1	0	0
132.998234115	8850.34667969	1	nan	0	0	0
133.00864704	16710.8665365	3	24.0858900599	1	0	0
133.016514173	13646.7875977	2	5.65830779272	1	1	1
133.0317966	13176.5641276	3	36.5488692729	1	0	0
133.033905563	12998.6855469	3	15.9922734504	1	1	1
133.03459173	48617.6106771	3	25.1542317396	1	0	0
133.060793579	16886.5950521	3	12.8181749263	1	1	1
133.07260965	8721.8203125	2	3.123799146	1	1	1
133.073112923	32807.9772135	3	2.00170168559	1	1	1
133.073800777	121649.942708	3	9.48887842613	1	1	1
133.074321714	8220.91113281	1	nan	0	0	0
133.078512028	9816.26220703	2	13.7971632592	1	1	1
133.078936414	36369.78125	3	6.75994416912	1	1	1
133.079450914	119150.822917	3	4.25064283011	1	1	1
133.080120289	475378.052083	3	5.22853103482	1	1	1
133.080631139	37104.0	1	nan	0	0	0
133.083086352	12498.9313151	3	17.3279344611	1	1	1
133.085907783	14634.304362	3	11.4496567502	1	1	1
133.097179488	13599.360026	3	21.9016697534	1	0	0
133.104603046	10260.9492188	1	nan	0	0	0
133.105266389	27639.9238281	3	6.62313848808	1	1	1
134.044166173	8607.07128906	1	nan	0	0	0
134.044805053	18133.0524089	3	20.1103864766	1	0	0
134.08035172	13654.8408203	1	nan	0	0	0
134.081010974	52624.8450521	3	7.37830234828	1	1	1
134.083520731	11958.8881836	2	31.3245823511	1	0	0
134.99649641	31908.6054688	3	2.33705604191	1	1	1
135.002168742	12223.5859375	3	9.69899941345	1	1	1
135.002871044	84057.8229167	3	3.0660156569	1	1	1
135.032159647	13272.1064453	1	nan	0	0	0
135.101586115	10363.5833333	3	13.4400271917	1	1	1
135.528240626	15019.1813151	3	6.97038894631	1	1	1
136.046483206	9221.64257812	1	nan	0	0	0
136.046918636	31401.1028646	3	2.40844427905	1	1	1
136.047437943	80401.3776042	3	3.20458287391	1	1	1
136.048134169	553878.0625	3	5.36839649015	1	1	1
136.048700274	42223.3378906	2	8.30726250187	1	1	1
136.06107294	11212.6842448	3	16.2526246554	1	1	1
136.061775486	65479.0833333	3	3.58081591012	1	1	1
136.073293303	10290.5722656	3	9.20337119851	1	1	1
136.939335045	18191.413737	3	7.94933099377	1	1	1
136.940058282	108432.268229	3	11.6962308596	1	1	1
137.006614188	8576.54785156	1	nan	0	0	0
137.028755071	10130.6933594	1	nan	0	0	0
137.029493425	55056.46875	3	8.62456426734	1	1	1
137.044547301	11991.9544271	3	5.16712718786	1	1	1
137.045068195	32080.7571615	3	7.86677081132	1	1	1
137.045782476	215867.567708	3	7.32203914481	1	1	1
137.046417274	10062.3710938	1	nan	0	0	0
137.051492858	24762.3483073	3	5.59087441739	1	1	1
137.057293908	22057.9746094	3	7.95136729152	1	1	1
138.031552065	10222.8792318	3	13.3274843801	1	1	1
138.04915047	9601.90625	2	6.09936462812	1	1	1
138.052564408	24553.750651	3	18.941313713	1	1	1
138.964152974	18853.8219401	3	17.6929483424	1	1	1
139.014855515	15521.5712891	3	16.2002049759	1	1	1
139.01559789	84037.609375	3	13.0830465956	1	1	1
139.0364946	12189.4316406	1	nan	0	0	0
139.072995345	8221.83691406	1	nan	0	0	0
139.111734564	10417.8383789	2	0.116213490298	1	1	1
140.010831987	10534.578125	2	18.6504950958	1	1	1
140.066450014	12745.0807292	3	10.8029930885	1	1	1
140.066933555	62855.1263021	3	5.46475779489	1	1	1
140.067485259	192870.578125	3	3.76650818484	1	1	1
140.068175441	1327386.41667	3	2.83690173633	1	1	1
140.068750555	101142.601562	3	4.98337244611	1	1	1
140.994878477	21192.7057292	3	5.28729203123	1	1	1
141.003250005	8772.51660156	1	nan	0	0	0
141.014530687	8567.71728516	2	0.436247644498	1	1	1
141.015093399	23401.8229167	3	5.62764834072	1	1	1
141.015854616	138046.541667	3	2.77717006311	1	1	1
141.070836531	8881.31770833	3	5.07879560597	1	1	1
141.07157567	57826.0533854	3	9.90307355941	1	1	1
141.088619596	10287.9287109	1	nan	0	0	0
142.026401351	15428.9169922	2	33.5531375586	1	0	0
142.04750876	9812.41601562	1	nan	0	0	0
142.948094857	30112.546875	3	2.44507611949	1	1	1
143.010542293	23157.9479167	3	19.7134905009	1	1	1
143.048535689	10697.918457	2	9.9569923088	1	1	1
143.106703325	12358.5805664	2	9.94071086981	1	1	1
144.005799814	12037.9013672	3	26.8391669402	1	0	0
144.101126166	10355.539388	3	7.95057065088	1	1	1
144.101926548	61823.0859375	3	6.36534821017	1	1	1
145.026184438	19335.5979818	3	11.658496709	1	1	1
145.034605251	22063.7128906	3	15.4421745241	1	1	1
145.037266501	28663.7526042	3	10.6521471528	1	1	1
145.049557163	9188.8688151	3	8.39783712273	1	1	1
146.092442143	19146.4973958	3	20.2130891107	1	0	0
146.116181633	19700.7701823	3	5.99099848973	1	1	1
146.116779243	53615.3320312	3	12.8224861415	1	1	1
146.117586112	326862.125	3	7.14888147667	1	1	1
146.118230095	20562.9423828	2	7.98018070755	1	1	1
146.165209099	30768.7877604	3	12.2194204547	1	1	1
147.074517983	15807.5139974	3	9.91032010913	1	1	1
147.075048817	87670.625	3	4.13164474943	1	1	1
147.075642546	306000.208333	3	3.76507813603	1	1	1
147.07639592	2169011.33333	3	5.37429264185	1	1	1
147.112016633	11698.4345703	3	24.3315176843	1	0	0
147.112827587	65720.2408854	3	7.90354538142	1	1	1
147.12092632	24635.3261719	3	3.00770176911	1	1	1
148.002473152	40309.0664062	3	1.27156977178	1	1	1
148.003081094	111259.005208	3	2.53865164892	1	1	1
148.003897888	725699.875	3	1.72895428378	1	1	1
148.004538597	52850.2643229	3	3.08351848347	1	1	1
148.058502557	9615.41308594	1	nan	0	0	0
148.059021658	41908.09375	3	4.29192631614	1	1	1
148.059638982	118109.182292	3	0.82763916438	1	1	1
148.060454342	732314.354167	3	1.824310097	1	1	1
148.061091225	55220.859375	3	4.76720880585	1	1	1
148.073470436	12288.0146484	2	6.90033407966	1	1	1
148.07896991	13051.389974	3	18.3533623409	1	1	1
148.079802738	78923.4036458	3	10.9915356679	1	1	1
148.096865118	15156.265625	3	4.7699368726	1	1	1
149.007278313	12449.4401042	3	13.0531601895	1	1	1
149.029553003	13663.6559245	3	23.5262809724	1	0	0
149.06381662	34799.1764323	3	6.86109801417	1	1	1
149.992815127	14361.8421224	3	20.9220707232	1	0	0
149.999721208	27368.9485677	3	1.47313255142	1	1	1
150.058362203	23984.1328125	3	16.8695293888	1	1	1
150.975330587	11962.211263	3	13.4185353545	1	1	1
150.975947728	33748.1210938	3	3.08510016991	1	1	1
150.976833291	191523.703125	3	1.93595099278	1	1	1
150.977499111	8732.37109375	1	nan	0	0	0
151.047827348	23251.483724	3	12.2411516493	1	1	1
152.021222205	14114.4876302	3	16.3266826516	1	1	1
152.022112075	88741.3880208	3	7.49905507408	1	1	1
152.031806934	9625.83105469	1	nan	0	0	0
156.040544157	26340.9648438	3	5.77696123992	1	1	1
156.041292694	91426.7994792	3	12.6697166917	1	1	1
156.042082179	763038.916667	3	3.72292817259	1	1	1
156.07674898	35162.2057292	3	7.32298436029	1	1	1
156.989759116	52883.859375	3	9.44645119076	1	1	1
157.01075328	8576.15934245	3	7.14107522822	1	1	1
157.045483994	40577.5846354	3	7.96019770788	1	1	1
158.040250239	47294.6901042	3	6.32756791951	1	1	1
158.921972263	31858.453125	3	9.11642620194	1	1	1
159.013836707	30125.0976562	3	14.6873885758	1	1	1
159.027720271	28080.7265625	3	9.43388107156	1	1	1
159.076424787	10995.2742513	3	19.1678941293	1	1	1
160.132255416	10772.0869141	1	nan	0	0	0
160.133190142	72081.6601562	3	13.3357548116	1	1	1
161.01114531	10385.6468099	3	14.610909341	1	1	1
161.029499946	9676.98291016	2	11.6583472349	1	1	1
161.128429905	40498.0201823	3	13.574372632	1	1	1
162.076046137	8725.01000977	2	13.4425184919	1	1	1
162.109901781	11311.6829427	3	5.39384433618	1	1	1
162.110690697	73601.6432292	3	6.08587736932	1	1	1
162.112341963	3770363.33333	3	5.39647120051	1	1	1
162.113084985	323267.510417	3	5.31571555636	1	1	1
162.114205752	9586.02376302	3	0.714737403238	1	1	1
162.955711086	9701.4124349	3	13.2719652233	1	1	1
163.045141213	29423.3509115	3	15.2181740407	1	1	1
163.109525702	10571.8069661	3	5.61582954202	1	1	1
163.114094656	7570.53759766	1	nan	0	0	0
163.114869217	25000.8326823	3	2.04960868384	1	1	1
163.115811688	210753.557292	3	0.14588318073	1	1	1
163.976067976	18979.7389323	3	6.94480617238	1	1	1
163.976867212	68457.8098958	3	3.26531190596	1	1	1
163.977777965	610405.666667	3	4.31587479854	1	1	1
164.1167133	17483.1337891	3	21.2349124556	1	0	0
164.119131621	9610.04882812	2	13.2108825702	1	1	1
164.530957544	9163.23828125	1	nan	0	0	0
164.981164616	12403.0585938	3	8.62760194881	1	1	1
165.007039503	8753.87695312	1	nan	0	0	0
165.05456612	9121.80493164	2	16.2516423706	1	1	1
165.973613412	27783.6861979	3	15.547309208	1	1	1
165.975932757	43675.390625	3	10.2699358254	1	1	1
166.001862274	11668.5992839	3	19.8449524453	1	1	1
166.086247878	67941.8880208	3	4.49390401844	1	1	1
166.949770495	11277.0764974	3	14.3593969337	1	1	1
166.950718295	122557.0	3	12.7001932051	1	1	1
167.02074589	12901.7643229	3	24.0586354117	1	0	0
167.021722744	145348.046875	3	10.3845944188	1	1	1
167.03147185	14304.250651	3	27.5383475282	1	0	0
167.040065884	19976.6842448	3	14.9528931943	1	1	1
167.046886551	8318.90218099	3	5.9075597311	1	1	1
167.104245482	13959.6962891	1	nan	0	0	0
168.005737385	60864.671875	3	8.73574241004	1	1	1
168.948840102	17942.8776042	3	6.92148307585	1	1	1
169.019827456	9225.98779297	2	4.36857757281	1	1	1
169.026155287	16438.8157552	3	9.63547355281	1	1	1
169.057363819	9934.66748047	2	20.4528079176	1	0	0
169.058357688	102871.302083	3	5.76947782909	1	1	1
169.985822659	12566.0113932	3	5.62208288231	1	1	1
170.030818593	14526.4739583	3	3.1938447116	1	1	1
170.031614103	50602.4765625	3	9.41956670281	1	1	1
170.032602909	515716.052083	3	10.8033003906	1	1	1
170.042357445	28388.5800781	3	18.0169212452	1	1	1
170.057776141	15803.5273438	3	33.3491059145	1	0	0
170.081171829	12427.7884115	3	18.5854835916	1	1	1
170.09240162	16122.750651	3	15.0580969556	1	1	1
171.016566661	9070.9921875	1	nan	0	0	0
171.03596263	17413.2932943	3	15.5892549928	1	1	1
171.041791499	9378.26074219	3	4.8315791759	1	1	1
171.06275857	11116.2558594	3	6.10575080665	1	1	1
171.099148928	8911.29296875	3	11.0156904458	1	1	1
172.000696962	8146.18310547	1	nan	0	0	0
172.030740492	33992.2213542	3	23.8328112339	1	0	0
172.133210893	18607.3125	3	16.4000674973	1	1	1
172.984684552	40601.7076823	3	14.0755801814	1	1	1
173.042062459	7845.98242188	1	nan	0	0	0
173.057423029	9346.0139974	3	16.3236320607	1	1	1
173.080839062	74193.9557292	3	7.32525777218	1	1	1
174.895935222	56068.0273438	3	9.35993840281	1	1	1
174.991393016	11369.6178385	3	18.8647128831	1	1	1
175.000588591	9677.23486328	2	12.6194253114	1	1	1
175.001672415	137966.364583	3	3.01766759386	1	1	1
175.057659934	8113.82958984	1	nan	0	0	0
175.11791037	10317.6674805	2	10.0361972975	1	1	1
175.118954415	122309.442708	3	4.72925966166	1	1	1
176.005070097	7772.12890625	1	nan	0	0	0
176.102970587	84802.1796875	3	7.57991039585	1	1	1
176.12228467	8448.67285156	3	2.28682302463	1	1	1
176.894055419	7839.43164062	1	nan	0	0	0
176.999742375	11396.3261719	2	25.9500174724	1	0	0
177.134599561	37551.3326823	3	16.064517911	1	1	1
178.971709822	8439.48844401	3	3.64788165396	1	1	1
179.128477453	43582.422526	3	26.9803362394	1	0	0
179.630192626	8902.37207031	1	nan	0	0	0
179.982310978	9463.3922526	3	15.2752966663	1	1	1
182.081170495	10663.8632812	1	nan	0	0	0
184.073337628	14185.8125	3	20.239351825	1	0	0
184.094412183	11555.3408203	3	8.28658133388	1	1	1
185.03231164	14847.5292969	2	7.09455553093	1	1	1
185.959789727	14652.3177083	3	10.9495754745	1	1	1
186.01621996	8250.46679688	1	nan	0	0	0
187.030446429	7549.35351562	1	nan	0	0	0
187.036645287	11454.5498047	1	nan	0	0	0
187.073019722	9737.67822266	2	10.7181777452	1	1	1
187.125905038	42118.6653646	3	12.1648432697	1	1	1
189.016002858	17602.0582682	3	14.5274531085	1	1	1
189.052383531	8909.41699219	2	12.1600180988	1	1	1
189.123404775	10328.9461263	3	16.4893458012	1	1	1
189.159782556	17499.8125	3	21.3876255368	1	0	0
190.91198368	9944.55436198	3	19.0865149883	1	1	1
191.031645845	19985.9570312	3	12.8296271846	1	1	1
191.040108923	66466.2747396	3	10.3171315176	1	1	1
191.104305195	11476.6500651	3	7.76890432426	1	1	1
191.150232178	8327.91601562	1	nan	0	0	0
192.014618693	23241.9947917	3	15.1554527269	1	1	1
192.024352599	10529.8417969	1	nan	0	0	0
192.040784831	12291.5917969	1	nan	0	0	0
192.109120571	10872.9475911	3	3.36270289367	1	1	1
193.001974913	24781.6386719	3	15.9649976561	1	1	1
193.019245749	8328.24902344	1	nan	0	0	0
193.037545131	9906.62402344	1	nan	0	0	0
193.062596258	13372.508138	3	11.8772368488	1	1	1
