mz	intensity	present	rsd	present_flag	rsd_flag	flags
101.782258955	27318.5146484	2	9.66438705092	1	1	1
101.782583789	17274.5498047	3	5.95699797475	1	1	1
101.783010819	28270.1422526	3	33.6227374043	1	0	0
101.78335916	15685.6103516	2	2.13842367093	1	1	1
101.783625613	15415.5742188	2	29.3968888505	1	0	0
101.783935955	23857.6186523	2	45.5342724046	1	0	0
101.784305488	17578.9833984	3	34.9007116198	1	0	0
101.78458739	27388.1689453	2	10.6192244491	1	1	1
101.784970501	23246.5011393	3	54.2985429929	1	0	0
101.785412836	20358.3525391	3	40.1740747843	1	0	0
101.785726981	12987.2119141	1	nan	0	0	0
101.785950554	19702.9804688	1	nan	0	0	0
101.786208704	22575.8408203	2	7.57887660002	1	1	1
101.786453229	14519.878418	2	27.7251004659	1	0	0
101.786685266	15365.0966797	2	46.75657129	1	0	0
101.786949225	22894.5371094	2	8.23511135426	1	1	1
101.787297146	26330.6650391	2	28.1530962091	1	0	0
101.787716944	20704.1962891	3	42.6176088749	1	0	0
101.787990105	12159.9091797	1	nan	0	0	0
101.78837807	8248.08300781	1	nan	0	0	0
101.788672546	14295.0927734	2	17.6782488254	1	1	1
101.788939421	11321.1132812	2	20.4688936773	1	0	0
101.789181004	15406.0823568	3	30.4754523347	1	0	0
101.789434348	13832.8823242	2	9.22039779888	1	1	1
101.78980112	18229.1484375	2	31.5950994522	1	0	0
101.790092678	10841.5504557	3	17.1217545153	1	1	1
101.790421342	13056.0175781	3	10.1457241537	1	1	1
101.791015625	13863.3310547	3	12.8689873732	1	1	1
101.791467242	21565.9697266	2	15.3876642948	1	1	1
101.791739029	13118.9882812	3	13.811017467	1	1	1
101.791975822	12357.328125	2	1.7280358694	1	1	1
101.792262948	13451.2128906	2	4.56794744782	1	1	1
101.792636289	14226.9291992	2	11.5588213662	1	1	1
101.793071727	13106.6844076	3	30.0065656023	1	0	0
101.793532968	12742.8359375	2	22.1907468841	1	0	0
101.79394219	9887.55761719	1	nan	0	0	0
101.794189819	13754.074707	2	11.1834649853	1	1	1
101.7945234	11453.4716797	2	14.8856084251	1	1	1
101.794973476	12570.2319336	2	5.15305897509	1	1	1
101.795284024	9214.12646484	2	6.65331039174	1	1	1
101.796173429	11125.4443359	1	nan	0	0	0
101.796697229	9440.95898438	2	6.73520735674	1	1	1
101.797067714	11114.3574219	1	nan	0	0	0
101.797355305	10223.7060547	1	nan	0	0	0
101.797812705	9402.82226562	1	nan	0	0	0
101.798196247	10399.7773438	1	nan	0	0	0
101.798537658	8567.41796875	1	nan	0	0	0
101.799568728	12678.277832	2	31.9472632374	1	0	0
101.802526315	9764.60449219	1	nan	0	0	0
101.803069923	8219.23535156	1	nan	0	0	0
102.091311676	11661.2089844	2	10.0281565869	1	1	1
103.038950019	35193.6757812	3	9.27871707581	1	1	1
104.070579776	8696.28808594	3	6.62724012611	1	1	1
104.106972021	24298.625651	3	10.689117621	1	1	1
105.003237357	9797.19335938	2	12.6134956141	1	1	1
106.950572051	17086.7011719	3	58.717914935	1	0	0
110.07125984	15339.2190755	3	22.5858926425	1	0	0
112.036892116	9881.60839844	2	13.4248471182	1	1	1
112.05188921	12980.8540039	2	6.2447477014	1	1	1
112.052306144	90855.2708333	3	19.1192585985	1	1	1
112.05264906	10821.402832	2	2.72702213716	1	1	1
112.086916466	22849.5592448	3	12.5199478511	1	1	1
113.020927913	15070.3328451	3	35.8481035009	1	0	0
114.050414331	10380.6425781	1	nan	0	0	0
114.066191001	46702.3697917	3	5.5282088555	1	1	1
115.036571286	24633.3867188	3	28.018451785	1	0	0
116.070607951	11496.3984375	3	10.8815725261	1	1	1
116.977097693	17297.3219401	3	6.46567893843	1	1	1
118.085423958	12632.0515951	3	3.64753649497	1	1	1
118.085815969	14020.6660156	3	26.7849514416	1	0	0
118.086259414	214207.213542	3	6.04069567838	1	1	1
118.086667135	20617.5065104	3	6.28736021724	1	1	1
119.018935013	14044.9241536	3	21.9855608347	1	0	0
119.089643881	10694.0234375	3	21.0986215371	1	0	0
121.068379951	13659.9921875	1	nan	0	0	0
122.924506589	9806.82128906	2	15.2461640569	1	1	1
123.013837624	27231.6432292	3	5.88013406204	1	1	1
123.055302704	15391.7089844	3	0.559570359865	1	1	1
126.021948623	25870.1054688	3	13.1351639955	1	1	1
128.010851128	28844.703776	3	15.1547879021	1	1	1
128.994872871	27612.7942708	3	23.8168110614	1	0	0
129.065856138	10095.2096354	3	6.28143488558	1	1	1
130.048744884	10879.6884766	3	15.7020183435	1	1	1
130.049205147	38132.4518229	3	12.6715183339	1	1	1
130.049876613	136998.625	3	6.06667375126	1	1	1
130.050326668	11903.4443359	1	nan	0	0	0
130.086263711	10061.1567383	2	0.397039608694	1	1	1
131.009848875	29648.375	3	14.5169810964	1	1	1
131.010496714	93174.3515625	3	6.39950429194	1	1	1
131.018263348	16426.2151693	3	27.1956867431	1	0	0
131.018947546	45715.2317708	3	15.6746834245	1	1	1
131.053230901	15146.9645182	3	29.2655362102	1	0	0
131.106645939	8484.67285156	1	nan	0	0	0
131.348330909	8705.2734375	2	0.709396244195	1	1	1
131.348797571	8835.1328125	1	nan	0	0	0
