mz	intensity	snr	snr_flag	present	fraction	rsd	fraction_flag	rsd_flag	flags
70.010220327	2017.67614746	0.816460713985	0	1.0	1.0	nan	1	1	0
70.0137429533	2431.27246094	0.983824114612	0	1.0	1.0	nan	1	1	0
70.0273514853	2370.65454102	0.959294831138	0	1.0	1.0	nan	1	1	0
70.039473411	2011.66345215	0.814027652805	0	1.0	1.0	nan	1	1	0
70.0477759066	2006.87158203	0.812088603418	0	1.0	1.0	nan	1	1	0
70.0498853235	1908.93066406	0.772456419674	0	1.0	1.0	nan	1	1	0
70.0848304671	1844.39892578	0.746343393964	0	1.0	1.0	nan	1	1	0
70.0914193581	1974.44226074	0.798965948999	0	1.0	1.0	nan	1	1	0
70.1043382222	2630.55615234	1.06446505651	0	1.0	1.0	nan	1	1	0
70.1288549883	3036.11938477	1.22857783879	0	1.0	1.0	nan	1	1	0
70.1315960629	2009.04858398	0.812969535956	0	1.0	1.0	nan	1	1	0
70.1547370673	2203.18579102	0.891527932388	0	1.0	1.0	nan	1	1	0
70.1772723687	2681.35351562	1.0850204125	0	1.0	1.0	nan	1	1	0
70.1823616016	2299.79833984	0.930622586253	0	1.0	1.0	nan	1	1	0
70.206570952	3360.72460938	1.35993063978	0	1.0	1.0	nan	1	1	0
70.2191251362	2036.71569824	0.824165144275	0	1.0	1.0	nan	1	1	0
70.2260288528	2183.31396484	0.883486718537	0	1.0	1.0	nan	1	1	0
70.2312904166	2679.54467773	1.08428845902	0	1.0	1.0	nan	1	1	0
70.245375556	2601.02856445	1.0525166001	0	1.0	1.0	nan	1	1	0
70.2527375403	2015.65698242	0.815643650785	0	1.0	1.0	nan	1	1	0
70.2612472846	2336.21459961	0.945358571255	0	1.0	1.0	nan	1	1	0
70.2637844861	1843.35424805	0.745920660945	0	1.0	1.0	nan	1	1	0
70.2699884013	2196.94458008	0.889002401448	0	1.0	1.0	nan	1	1	0
70.3271179221	2200.01074219	0.890243136195	0	1.0	1.0	nan	1	1	0
70.3642173222	2179.53417969	0.881957213372	0	1.0	1.0	nan	1	1	0
70.37178127	2187.67822266	0.885252732896	0	1.0	1.0	nan	1	1	0
70.3818976893	2277.13623047	0.921452273156	0	1.0	1.0	nan	1	1	0
70.3880313838	2233.86474609	0.903942294127	0	1.0	1.0	nan	1	1	0
70.4245500233	2366.45922852	0.957597181174	0	1.0	1.0	nan	1	1	0
70.4301085159	2432.42431641	0.984290217529	0	1.0	1.0	nan	1	1	0
70.4528062709	2467.30004883	0.998402821987	0	1.0	1.0	nan	1	1	0
70.4573076922	2160.02929688	0.874064484617	0	1.0	1.0	nan	1	1	0
70.4723588759	2041.09899902	0.825938864448	0	1.0	1.0	nan	1	1	0
70.486483945	3196.51879883	1.29348410251	0	1.0	1.0	nan	1	1	0
70.5143617181	1734.57714844	0.701903573008	0	1.0	1.0	nan	1	1	0
70.5331606586	2040.54150391	0.825713271821	0	1.0	1.0	nan	1	1	0
70.5651457166	2336.69677734	0.945553686402	0	1.0	1.0	nan	1	1	0
70.5844542617	2317.86352539	0.937932735757	0	1.0	1.0	nan	1	1	0
70.5867251344	1904.66235352	0.770729230758	0	1.0	1.0	nan	1	1	0
70.6010131519	1923.23742676	0.778245708356	0	1.0	1.0	nan	1	1	0
70.6496620444	2292.79980469	0.927790601042	0	1.0	1.0	nan	1	1	0
70.6499953161	2211.39428711	0.894849533127	0	1.0	1.0	nan	1	1	0
70.6530615891	1965.72460938	0.795438316545	0	1.0	1.0	nan	1	1	0
70.6686830285	1902.47119141	0.769842568257	0	1.0	1.0	nan	1	1	0
70.6985086236	2400.11230469	0.971215032896	0	1.0	1.0	nan	1	1	0
70.7021697591	2091.03735352	0.846146619104	0	1.0	1.0	nan	1	1	0
70.7056318939	2224.84521484	0.900292504773	0	1.0	1.0	nan	1	1	0
70.7130271913	2113.04516602	0.855052168357	0	1.0	1.0	nan	1	1	0
70.731485129	2128.67578125	0.861377159258	0	1.0	1.0	nan	1	1	0
70.7464814469	2553.05957031	1.03310575498	0	1.0	1.0	nan	1	1	0
70.7476435883	2111.78759766	0.854543288296	0	1.0	1.0	nan	1	1	0
70.7908359312	2023.26904297	0.818723901497	0	1.0	1.0	nan	1	1	0
70.8036631194	2670.55981445	1.0806526982	0	1.0	1.0	nan	1	1	0
70.8167118503	3114.64501953	1.26035355062	0	1.0	1.0	nan	1	1	0
70.8209931491	3049.29443359	1.23390917494	0	1.0	1.0	nan	1	1	0
70.8441425329	2152.61010742	0.871062279964	0	1.0	1.0	nan	1	1	0
70.8655341668	1953.80480957	0.790614921932	0	1.0	1.0	nan	1	1	0
70.8669479344	2410.91186523	0.975585118217	0	1.0	1.0	nan	1	1	0
70.9122684565	1941.69519043	0.785714716167	0	1.0	1.0	nan	1	1	0
70.9164148353	2257.61352539	0.91355233255	0	1.0	1.0	nan	1	1	0
70.9560975042	3121.859375	1.26327286838	0	1.0	1.0	nan	1	1	0
70.9899614107	2217.15258789	0.897179652543	0	1.0	1.0	nan	1	1	0
71.0074471905	1900.04602051	0.768861213164	0	1.0	1.0	nan	1	1	0
